ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A12FBFA8C4E5FCA4AC,2023-06-11 00:00:00,001,颗粒物,1.263,20,,0,0,2023-06-12T12:35:05,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A12FBFA8C4E5FCA4AC,2023-06-11 00:00:00,002,二氧化硫,36.884,80,,0,0,2023-06-12T12:35:05,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A12FBFA8C4E5FCA4AC,2023-06-11 00:00:00,003,氮氧化物,214.521,250,,0,0,2023-06-12T12:35:05,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A12FBFA8C4E5FCA4AC,2023-06-11 00:00:00,004,一氧化碳,0.912,80,,0,0,2023-06-12T12:35:05,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A12FBFA8C4E5FCA4AC,2023-06-11 00:00:00,008,氯化氢,26.193,50,,0,0,2023-06-12T12:35:05.003,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A194673BC9CBFA695E,2023-06-11 00:00:00,001,颗粒物,5.316,20,,0,0,2023-06-12T12:35:04.92,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A194673BC9CBFA695E,2023-06-11 00:00:00,002,二氧化硫,34.086,80,,0,0,2023-06-12T12:35:04.92,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A194673BC9CBFA695E,2023-06-11 00:00:00,003,氮氧化物,202.689,250,,0,0,2023-06-12T12:35:04.92,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A194673BC9CBFA695E,2023-06-11 00:00:00,004,一氧化碳,1.627,80,,0,0,2023-06-12T12:35:04.92,2023-06-13T14:31:21.91,20230611
18B72E1FFFEED6A1C73AC4FF2E259269,18B72E1FFFEED6A194673BC9CBFA695E,2023-06-11 00:00:00,008,氯化氢,20.336,50,,0,0,2023-06-12T12:35:04.92,2023-06-13T14:31:21.91,20230611
