ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1D1766ACA3FADEAF2,2022-02-22 00:00:00,001,颗粒物,0.47,20,,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:35.103,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1D1766ACA3FADEAF2,2022-02-22 00:00:00,002,二氧化硫,16.28,80,,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:35.103,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1D1766ACA3FADEAF2,2022-02-22 00:00:00,003,氮氧化物,161.84,250,,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:35.103,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1D1766ACA3FADEAF2,2022-02-22 00:00:00,004,一氧化碳,3.47,80,,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:35.103,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1D1766ACA3FADEAF2,2022-02-22 00:00:00,008,氯化氢,6.79,50,,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:35.103,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1427BA3CAD01B23B8,2022-02-22 00:00:00,001,颗粒物,0.6,20,CEMS维护,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:32.447,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1427BA3CAD01B23B8,2022-02-22 00:00:00,002,二氧化硫,26.93,80,CEMS维护,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:32.447,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1427BA3CAD01B23B8,2022-02-22 00:00:00,003,氮氧化物,155.82,250,CEMS维护,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:32.447,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1427BA3CAD01B23B8,2022-02-22 00:00:00,004,一氧化碳,5.74,80,CEMS维护,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:32.447,20220222
7C3F449636EBEAE1EAC968D2064AC0B8,7C3F449636EBEAE1427BA3CAD01B23B8,2022-02-22 00:00:00,008,氯化氢,5.78,50,CEMS维护,0,0,2022-02-23T09:22:32.447,2022-02-23T09:22:32.447,20220222
