ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A4F6A3BD7FC2C575,2022-02-25 00:00:00,001,颗粒物,2.03,20,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A4F6A3BD7FC2C575,2022-02-25 00:00:00,002,二氧化硫,7.65,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A4F6A3BD7FC2C575,2022-02-25 00:00:00,003,氮氧化物,156.45,250,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A4F6A3BD7FC2C575,2022-02-25 00:00:00,004,一氧化碳,6.05,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A4F6A3BD7FC2C575,2022-02-25 00:00:00,008,氯化氢,6.82,50,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A50285A2A96B5BBA,2022-02-25 00:00:00,001,颗粒物,1.49,20,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A50285A2A96B5BBA,2022-02-25 00:00:00,002,二氧化硫,7.57,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A50285A2A96B5BBA,2022-02-25 00:00:00,003,氮氧化物,153.1,250,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A50285A2A96B5BBA,2022-02-25 00:00:00,004,一氧化碳,8.85,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
00586C96EB6533B811042B06F78A49DC,00586C96EB6533B8A50285A2A96B5BBA,2022-02-25 00:00:00,008,氯化氢,5.95,50,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
