ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D372BD9637D5A7E56F8,2023-06-08 00:00:00,001,颗粒物,2.436,20,,0,0,2023-06-09T12:35:08.71,2023-06-10T14:30:25.957,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D372BD9637D5A7E56F8,2023-06-08 00:00:00,002,二氧化硫,6.362,80,,0,0,2023-06-09T12:35:08.713,2023-06-10T14:30:25.957,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D372BD9637D5A7E56F8,2023-06-08 00:00:00,003,氮氧化物,81.604,250,,0,0,2023-06-09T12:35:08.713,2023-06-10T14:30:25.957,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D372BD9637D5A7E56F8,2023-06-08 00:00:00,004,一氧化碳,0.882,80,,0,0,2023-06-09T12:35:08.713,2023-06-10T14:30:25.957,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D372BD9637D5A7E56F8,2023-06-08 00:00:00,008,氯化氢,2.176,50,,0,0,2023-06-09T12:35:08.713,2023-06-10T14:30:25.957,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D374EB274A4E8C51A3B,2023-06-08 00:00:00,001,颗粒物,1.825,20,CEMS维护,0,0,2023-06-09T12:35:08.727,2023-06-17T14:30:24.193,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D374EB274A4E8C51A3B,2023-06-08 00:00:00,002,二氧化硫,8.057,80,CEMS维护,0,0,2023-06-09T12:35:08.727,2023-06-17T14:30:24.193,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D374EB274A4E8C51A3B,2023-06-08 00:00:00,003,氮氧化物,81.024,250,CEMS维护,0,0,2023-06-09T12:35:08.727,2023-06-17T14:30:24.193,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D374EB274A4E8C51A3B,2023-06-08 00:00:00,004,一氧化碳,1.294,80,CEMS维护,0,0,2023-06-09T12:35:08.727,2023-06-17T14:30:24.193,20230608
3BAF3198C0944D379FED51DE6CAB9043,3BAF3198C0944D374EB274A4E8C51A3B,2023-06-08 00:00:00,008,氯化氢,2.336,50,CEMS维护,0,0,2023-06-09T12:35:08.73,2023-06-17T14:30:24.193,20230608
