ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8549684520290008,2023-06-05 00:00:00,001,颗粒物,,20,,0,0,2023-06-06T12:35:07.39,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8549684520290008,2023-06-05 00:00:00,002,二氧化硫,,80,,0,0,2023-06-06T12:35:07.39,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8549684520290008,2023-06-05 00:00:00,003,氮氧化物,,250,,0,0,2023-06-06T12:35:07.39,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8549684520290008,2023-06-05 00:00:00,004,一氧化碳,,80,,0,0,2023-06-06T12:35:07.393,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8549684520290008,2023-06-05 00:00:00,008,氯化氢,,50,,0,0,2023-06-06T12:35:07.39,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8DD37658A064D476,2023-06-05 00:00:00,001,颗粒物,1.321,20,,0,0,2023-06-06T12:35:07.433,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8DD37658A064D476,2023-06-05 00:00:00,002,二氧化硫,48.549,80,,0,0,2023-06-06T12:35:07.433,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8DD37658A064D476,2023-06-05 00:00:00,003,氮氧化物,190.528,250,,0,0,2023-06-06T12:35:07.433,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8DD37658A064D476,2023-06-05 00:00:00,004,一氧化碳,2.247,80,,0,0,2023-06-06T12:35:07.437,2023-06-07T14:30:27.557,20230605
BE1788F5F9ED1ECABA97CC21E8F47F69,BE1788F5F9ED1ECA8DD37658A064D476,2023-06-05 00:00:00,008,氯化氢,1.963,50,,0,0,2023-06-06T12:35:07.433,2023-06-07T14:30:27.557,20230605
