ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-06-02 00:00:00,001,颗粒物,9.05,20,,0,0,2023-06-03T12:35:07.217,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-06-02 00:00:00,002,二氧化硫,54.59,80,,0,0,2023-06-03T12:35:07.217,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-06-02 00:00:00,003,氮氧化物,180.344,250,,0,0,2023-06-03T12:35:07.217,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-06-02 00:00:00,004,一氧化碳,18.297,80,,0,0,2023-06-03T12:35:07.217,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33E58D6C29E7FCDFA9,2023-06-02 00:00:00,008,氯化氢,8.089,50,,0,0,2023-06-03T12:35:07.22,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-06-02 00:00:00,001,颗粒物,9.88,20,,0,0,2023-06-03T12:35:06.96,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-06-02 00:00:00,002,二氧化硫,58.3,80,,0,0,2023-06-03T12:35:06.96,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-06-02 00:00:00,003,氮氧化物,200.596,250,,0,0,2023-06-03T12:35:06.96,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-06-02 00:00:00,004,一氧化碳,4.912,80,,0,0,2023-06-03T12:35:06.963,2023-06-04T14:30:28.113,20230602
4EA3A1FD45F36A33234837918B3A3720,4EA3A1FD45F36A33BB0E12E1FFD67FB2,2023-06-02 00:00:00,008,氯化氢,1.622,50,,0,0,2023-06-03T12:35:06.963,2023-06-04T14:30:28.113,20230602
