ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6D897D057246D8E40,2023-06-04 00:00:00,001,颗粒物,2.956,20,,0,0,2023-06-05T12:35:05.433,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6D897D057246D8E40,2023-06-04 00:00:00,002,二氧化硫,12.915,80,,0,0,2023-06-05T12:35:05.433,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6D897D057246D8E40,2023-06-04 00:00:00,003,氮氧化物,105.53,150,,0,0,2023-06-05T12:35:05.433,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6D897D057246D8E40,2023-06-04 00:00:00,004,一氧化碳,6.924,80,,0,0,2023-06-05T12:35:05.433,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6D897D057246D8E40,2023-06-04 00:00:00,008,氯化氢,26.635,50,,0,0,2023-06-05T12:35:05.433,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6CF1CD21B35A5C49C,2023-06-04 00:00:00,001,颗粒物,3.98,20,,0,0,2023-06-05T12:35:05.443,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6CF1CD21B35A5C49C,2023-06-04 00:00:00,002,二氧化硫,23.984,80,,0,0,2023-06-05T12:35:05.443,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6CF1CD21B35A5C49C,2023-06-04 00:00:00,003,氮氧化物,98.761,150,,0,0,2023-06-05T12:35:05.443,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6CF1CD21B35A5C49C,2023-06-04 00:00:00,004,一氧化碳,5.34,80,,0,0,2023-06-05T12:35:05.443,2023-06-06T14:30:32.82,20230604
8609CB94471AA9B6321659E1932D0B33,8609CB94471AA9B6CF1CD21B35A5C49C,2023-06-04 00:00:00,008,氯化氢,17.649,50,,0,0,2023-06-05T12:35:05.443,2023-06-06T14:30:32.82,20230604
