ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F1105F4AC49DA604F87,2023-06-02 00:00:00,001,颗粒物,,20,,0,0,2023-06-03T12:35:07.267,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F1105F4AC49DA604F87,2023-06-02 00:00:00,002,二氧化硫,,80,,0,0,2023-06-03T12:35:07.267,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F1105F4AC49DA604F87,2023-06-02 00:00:00,003,氮氧化物,,250,,0,0,2023-06-03T12:35:07.267,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F1105F4AC49DA604F87,2023-06-02 00:00:00,004,一氧化碳,,80,,0,0,2023-06-03T12:35:07.267,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F1105F4AC49DA604F87,2023-06-02 00:00:00,008,氯化氢,,50,,0,0,2023-06-03T12:35:07.267,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F113112C33BBEC6EB4E,2023-06-02 00:00:00,001,颗粒物,2.159,20,,0,0,2023-06-03T12:35:07.263,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F113112C33BBEC6EB4E,2023-06-02 00:00:00,002,二氧化硫,61.541,80,,0,0,2023-06-03T12:35:07.263,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F113112C33BBEC6EB4E,2023-06-02 00:00:00,003,氮氧化物,210.723,250,,0,0,2023-06-03T12:35:07.267,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F113112C33BBEC6EB4E,2023-06-02 00:00:00,004,一氧化碳,0.82,80,,0,0,2023-06-03T12:35:07.267,2023-06-05T14:30:48.093,20230602
CE1CB6A0B9A78F1132F8246A7AC27A95,CE1CB6A0B9A78F113112C33BBEC6EB4E,2023-06-02 00:00:00,008,氯化氢,6.429,50,,0,0,2023-06-03T12:35:07.267,2023-06-05T14:30:48.093,20230602
