ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-06-12 00:00:00,001,颗粒物,1.126,20,CEMS维护,0,0,2023-06-13T12:35:04.483,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-06-12 00:00:00,002,二氧化硫,50.954,80,CEMS维护,0,0,2023-06-13T12:35:04.483,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-06-12 00:00:00,003,氮氧化物,157.698,250,CEMS维护,0,0,2023-06-13T12:35:04.487,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-06-12 00:00:00,004,一氧化碳,0.872,80,CEMS维护,0,0,2023-06-13T12:35:04.483,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2023-06-12 00:00:00,008,氯化氢,15.09,50,CEMS维护,0,0,2023-06-13T12:35:04.487,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-06-12 00:00:00,001,颗粒物,1.008,20,CEMS维护,0,0,2023-06-13T12:35:04.593,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-06-12 00:00:00,002,二氧化硫,57.882,80,CEMS维护,0,0,2023-06-13T12:35:04.59,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-06-12 00:00:00,003,氮氧化物,159.888,250,CEMS维护,0,0,2023-06-13T12:35:04.593,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-06-12 00:00:00,004,一氧化碳,5.05,80,CEMS维护,0,0,2023-06-13T12:35:04.59,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2023-06-12 00:00:00,008,氯化氢,14.892,50,CEMS维护,0,0,2023-06-13T12:35:04.593,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-06-12 00:00:00,001,颗粒物,1.912,20,CEMS维护,0,0,2023-06-13T12:35:04.607,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-06-12 00:00:00,002,二氧化硫,49.208,80,CEMS维护,0,0,2023-06-13T12:35:04.593,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-06-12 00:00:00,003,氮氧化物,156.953,250,CEMS维护,0,0,2023-06-13T12:35:04.597,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-06-12 00:00:00,004,一氧化碳,0.631,80,CEMS维护,0,0,2023-06-13T12:35:04.603,2023-06-21T14:30:21.377,20230612
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2023-06-12 00:00:00,008,氯化氢,9.713,50,CEMS维护,0,0,2023-06-13T12:35:04.607,2023-06-21T14:30:21.377,20230612
