ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-06-02 00:00:00,001,颗粒物,1.173,20,,0,0,2023-06-03T12:35:07.393,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-06-02 00:00:00,002,二氧化硫,18.678,80,,0,0,2023-06-03T12:35:07.393,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-06-02 00:00:00,003,氮氧化物,40.359,250,,0,0,2023-06-03T12:35:07.397,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-06-02 00:00:00,004,一氧化碳,9.019,80,,0,0,2023-06-03T12:35:07.397,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A3EB6DAF3729CF943,2023-06-02 00:00:00,008,氯化氢,1.188,50,,0,0,2023-06-03T12:35:07.397,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-06-02 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2023-06-03T12:35:07.397,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-06-02 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2023-06-03T12:35:07.4,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-06-02 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2023-06-03T12:35:07.4,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-06-02 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2023-06-03T12:35:07.4,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A01454EF2890C9727,2023-06-02 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2023-06-03T12:35:07.4,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-06-02 00:00:00,001,颗粒物,0.138,20,,0,0,2023-06-03T12:35:07.39,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-06-02 00:00:00,002,二氧化硫,19.86,80,,0,0,2023-06-03T12:35:07.39,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-06-02 00:00:00,003,氮氧化物,46.529,250,,0,0,2023-06-03T12:35:07.39,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-06-02 00:00:00,004,一氧化碳,10.234,80,,0,0,2023-06-03T12:35:07.39,2023-06-04T14:30:28.113,20230602
F3E34C08C5C84F5AA96A497DCA491BA0,F3E34C08C5C84F5A5C1B88395767691E,2023-06-02 00:00:00,008,氯化氢,1.314,50,,0,0,2023-06-03T12:35:07.39,2023-06-04T14:30:28.113,20230602
