ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921001BB696D5C771F3,2022-02-25 00:00:00,001,颗粒物,0.57,20,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921001BB696D5C771F3,2022-02-25 00:00:00,002,二氧化硫,29.37,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921001BB696D5C771F3,2022-02-25 00:00:00,003,氮氧化物,78.44,250,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921001BB696D5C771F3,2022-02-25 00:00:00,004,一氧化碳,0.61,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921001BB696D5C771F3,2022-02-25 00:00:00,008,氯化氢,3.61,50,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921F835F28D13B75F21,2022-02-25 00:00:00,001,颗粒物,1.05,20,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921F835F28D13B75F21,2022-02-25 00:00:00,002,二氧化硫,30.17,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921F835F28D13B75F21,2022-02-25 00:00:00,003,氮氧化物,77.5,250,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921F835F28D13B75F21,2022-02-25 00:00:00,004,一氧化碳,3.67,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921F835F28D13B75F21,2022-02-25 00:00:00,008,氯化氢,4.2,50,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921A4ECF5F2EC9DC246,2022-02-25 00:00:00,001,颗粒物,1.94,20,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921A4ECF5F2EC9DC246,2022-02-25 00:00:00,002,二氧化硫,33.57,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921A4ECF5F2EC9DC246,2022-02-25 00:00:00,003,氮氧化物,71.98,250,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921A4ECF5F2EC9DC246,2022-02-25 00:00:00,004,一氧化碳,1.41,80,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
2FC51BC0AB25E921F9CC31433CD8B172,2FC51BC0AB25E921A4ECF5F2EC9DC246,2022-02-25 00:00:00,008,氯化氢,7.31,50,,0,0,2022-02-26T09:21:40.94,2022-02-26T09:21:43.627,20220225
